#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
32,Belgium,"4,691,499",,"33,557                                ",,"4,641,684",+999,"16,258",48,"402,073","2,876","36,548,544","3,132,300","11,668,278 ",Europe,,23480,,,"1,393",
33,Czechia,"4,588,772",+43,"42,303                                ",,"4,538,140",+8,"8,329",19,"427,388","3,940","56,882,551","5,297,913","10,736,784 ",Europe,,22540,4,,776,
34,Canada,"4,539,229",,"50,135                                ",,"4,437,141","+2,402","51,953",99,"118,245","1,306","66,343,123","1,728,207","38,388,419 ",North America,,87661,,,"1,353",
35,Peru,"4,481,101",,"218,750                                ",,"4,256,881",+166,"5,470",61,"133,033","6,494","37,728,611","1,120,068","33,684,208 ",South America,,81541,,,162,
36,Switzerland,"4,385,701",,"14,452                                ",,"4,364,109",+347,"7,140",43,"499,873","1,647","23,318,743","2,657,819","8,773,637 ",Europe,,26070,,,814,
37,Philippines,"4,072,844",,"65,757                                ",,"3,997,049",,"10,038",162,"36,200",584,"34,299,257","304,858","112,508,994 ",Asia,,"281,7113",,,89,
38,South Africa,"4,055,284",,"102,595                                ",,"3,912,506",,"40,183",192,"66,747","1,689","26,473,049","435,726","60,756,135 ",Africa,,155922,,,661,
39,Romania,"3,322,648",,"67,542                                ",,"3,248,650",,"6,456",111,"174,588","3,549","26,323,702","1,383,177","19,031,335 ",Europe,,62821,,,339,
40,Denmark,"3,172,936",,"8,120                                ",,"3,163,395",,"1,421",19,"543,781","1,392","129,135,783","22,131,429","5,834,950 ",Europe,,27190,,,244,
41,Hong Kong,"2,872,823",,"13,313                                ",,"2,428,882",,"430,628",28,"377,789","1,751","76,123,870","10,010,636","7,604,299 ",Asia,,35710,,,"56,630",
42,Sweden,"2,693,458",,"23,246                                ",,"2,654,984","+1,796","15,228",12,"263,574","2,275","19,410,527","1,899,460","10,218,971 ",Europe,,44401,,,"1,490",
43,Serbia,"2,468,606",,"17,683                                ",,"2,437,553",,"13,370",15,"285,289","2,044","12,081,731","1,396,245","8,653,016 ",Europe,,44891,,,"1,545",
44,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,,"171,6622",,,16,
45,Singapore,"2,215,889",,"1,720                                ",,"2,143,307",,"70,862",2,"372,823",289,"24,756,666","4,165,302","5,943,546 ",Asia,,"33,4560",,,"11,923",
46,Hungary,"2,191,827",,"48,658                                ",,"2,137,305",,"5,864",11,"228,167","5,065","11,394,556","1,186,160","9,606,259 ",Europe,,41971,,,610,
47,New Zealand,"2,171,788",,"3,754                                ",,"2,155,471",,"12,563",,"443,385",766,"7,710,637","1,574,177","4,898,203 ",Australia/Oceania,,"21,3051",,,"2,565",
48,Bangladesh,"2,037,506",,"29,441                                ",,"1,991,170",,"16,895","1,331","12,136",175,"15,230,793","90,721","167,885,689 ",Asia,,"825,70211",,,101,
49,Slovakia,"1,860,750",+5,"20,938                                ",+3,"1,839,174",+9,638,28,"340,785","3,835","7,389,224","1,353,290","5,460,193 ",Europe,,32611,0.9,0.5,117,
50,Georgia,"1,814,180",,"16,926                                ",,"1,776,548",,"20,706",,"457,118","4,265","16,920,079","4,263,340","3,968,738 ",Asia,,22340,,,"5,217",
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181,
52,Ireland,"1,700,253",,"8,462                                ",,"1,683,684",+970,"8,107",27,"338,682","1,686","12,980,658","2,585,686","5,020,199 ",Europe,,35930,,,"1,615",
53,Pakistan,"1,576,271",+18,"30,640                                ",,"1,538,689",,"6,942",11,"6,869",134,"30,570,862","133,213","229,488,994 ",Asia,,"1467,4908",0.08,,30,
54,Norway,"1,477,715",,"5,112                                ",,"1,471,642",,961,20,"268,121",928,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,0781",,,174,
