Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,

JOSHI,263.90,4.31,272.00,248.00,250.00,"122,581",,
JSLBB,"1,616.00",-1.82,"1,670.00","1,581.80","1,614.00","1,051",,
KBL,195.00,-1.07,199.00,194.00,197.00,"172,680",,
KBLD86,864.40,-3.96,882.00,864.40,882.00,200,,
KDBY,8.78,1.15,8.89,8.51,8.51,"5,700",,
KEF,9.00,0,9.10,8.71,8.82,"17,501",,
KKHC,257.00,-1.91,264.10,253.90,262.00,"15,345",,
KLBS,"1,384.00",-0.44,"1,397.00","1,370.00","1,370.20",950,,
KLBSL,862.00,0,877.00,862.00,865.00,128,,
KMCDB,"1,020.00",-3.23,"1,050.00","1,015.00","1,050.00","1,489",,
KPCL,392.00,-1.75,402.00,390.00,400.00,"4,457",,
KRBL,299.00,-2.86,304.50,298.00,301.70,"13,271",,
KSBBL,335.30,-1.09,345.00,333.00,338.00,"40,166",,
LBBL,366.20,-2.84,384.40,366.00,384.40,"32,567",,
LBL,199.30,-0.25,202.00,198.60,200.00,"24,005",,
LEC,296.00,-2.92,303.00,290.00,300.00,"28,402",,
LEMF,9.60,1.05,9.60,9.42,9.50,"42,650",,
LGIL,462.20,10,462.20,428.60,428.60,907,,
LICN,"1,539.30",-0.63,"1,574.90","1,519.00","1,574.90","10,343",,
LLBS,"1,171.00",1.12,"1,179.00","1,135.20","1,135.20","1,030",,
LUK,8.72,-1.8,8.73,8.72,8.73,"12,110",,
MBJC,326.00,0.62,332.00,315.10,320.00,"56,892",,
MBL,243.00,-0.82,249.00,242.00,249.00,"19,087",,
MDB,395.00,-2.47,413.00,395.00,409.90,"10,292",,
MEN,812.00,-0.98,825.00,787.60,803.60,"1,393",,
MERO,772.50,-1.47,779.00,757.20,769.00,"1,661",,
MFIL,488.00,-0.71,506.00,487.00,491.00,"34,460",,
MHL,394.00,-0.25,398.00,379.40,387.10,"16,850",,
MHNL,337.00,-2.01,343.00,333.00,338.10,"38,355",,
MKJC,487.90,-1.87,497.00,481.00,490.00,"8,276",,
MKLB,890.00,-2.57,901.00,888.00,898.10,545,,
MLBBL,"1,103.00",-1.34,"1,139.00","1,101.00","1,139.00",972,,
MLBL,347.50,-1.84,355.00,347.30,352.00,"42,047",,
MLBS,"1,050.20",-3.21,"1,080.50","1,045.00","1,080.50",330,,
MLBSL,"4,103.00",-1.13,"4,140.00","4,071.00","4,081.00",696,,
MMF1,7.90,-2.59,8.00,7.80,7.95,"7,830",,
MMFDB,830.00,-0.02,850.00,825.00,826.00,"1,725",,
MNBBL,412.00,-1.13,420.00,411.00,415.00,"25,550",,
MPFL,347.00,-2.75,354.90,345.10,350.00,"12,865",,
MSLB,"1,214.00",-0.98,"1,220.00","1,212.00","1,220.00",78,,
NABBC,468.90,0.95,468.90,441.00,458.00,"21,898",,
NABIL,702.50,-0.44,709.00,701.10,707.00,"57,268",,
NADEP,786.00,-2.24,800.00,782.00,790.00,"7,696",,
NBF2,9.00,-0.88,9.10,9.00,9.00,"12,580",,
NBF3,7.90,-1.25,7.95,7.70,7.84,"19,808",,
NBL,274.00,-0.47,279.90,273.10,275.30,"42,044",,
NBLD87,740.00,0.07,754.20,740.00,754.20,80,,
NEF,9.05,0.56,9.10,8.99,8.99,"30,455",,
NESDO,"3,380.00",1.47,"3,420.00","3,264.40","3,264.40","12,481",,
NFS,316.80,-3.71,328.00,313.60,323.00,"59,180",,
NGPL,300.10,-1.93,308.90,298.00,305.00,"168,621",,
NHDL,395.00,-0.5,401.90,387.00,394.10,"8,965",,
NHPC,268.60,-2.33,277.00,266.30,270.00,"141,177",,
NIBD2082,905.20,0.52,906.00,905.20,906.00,40,,
NIBD84,776.00,0,776.00,776.00,776.00,50,,
NIBLPF,8.93,-3.25,9.05,8.87,9.05,"36,613",,
NIBSF2,7.87,-1.99,8.35,7.76,7.87,"14,150",,
NICA,826.00,0.24,833.60,820.00,823.00,"86,314",,
NICAD8283,928.40,-0.71,928.60,927.50,927.50,420,,
